,WORKSITE_STATE,SOC2,total_positions,avg_wage,avg_pw,wage_gap,avg_pw_level,sec_entity_rate,h1b_dep_rate,out_of_state_rate,new_emp_prop,cont_emp_prop,change_prev_prop,concurrent_prop,change_emp_prop,amend_pet_prop
364,NY,43,3.0,72666.66666666667,55238.0,17428.666666666668,2.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
365,OH,11,96.0,147761.30458333335,130952.22916666667,16809.075416666667,2.6145833333333335,0.0625,0.041666666666666664,0.5520833333333334,0.125,0.22916666666666666,0.09375,0.010416666666666666,0.17708333333333334,0.25
366,OH,13,77.0,101207.41376623377,79904.21558441558,21303.19818181818,2.727272727272727,0.35064935064935066,0.2857142857142857,0.5974025974025974,0.05194805194805195,0.14285714285714285,0.18181818181818182,0.0,0.15584415584415584,0.36363636363636365
367,OH,15,1362.0,112526.56609397943,101071.13656387666,11455.42953010279,2.6248164464023493,0.39500734214390604,0.4397944199706314,0.7290748898678414,0.0904307391091532,0.2593367596671562,0.08848507097405776,0.004527655408712678,0.1668257464512971,0.29054087126774353
368,OH,17,176.0,103000.40363636363,90502.99886363636,12497.404772727274,2.4488636363636362,0.25,0.25,0.5568181818181818,0.10795454545454546,0.21022727272727273,0.06818181818181818,0.0,0.3409090909090909,0.17045454545454544
369,OH,19,99.0,75477.41656565657,59407.181818181816,16070.234747474748,1.5656565656565657,0.010101010101010102,0.0,0.06060606060606061,0.5151515151515151,0.25252525252525254,0.0707070707070707,0.0,0.0707070707070707,0.09090909090909091
370,OH,21,5.0,52515.8,47291.0,5224.8,1.6,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.2
371,OH,23,3.0,91113.66666666667,80995.33333333333,10118.333333333334,1.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
372,OH,25,37.0,73526.37837837837,57677.91891891892,15848.45945945946,1.4594594594594594,0.0,0.0,0.0,0.40540540540540543,0.2702702702702703,0.02702702702702703,0.0,0.1891891891891892,0.08108108108108109
373,OH,27,10.0,68770.4,52345.8,16424.6,2.0,0.6,0.7,0.7,0.5,0.0,0.1,0.0,0.0,0.4
374,OH,29,143.0,120274.74398601399,86706.4797202797,33568.264265734266,2.6573426573426575,0.08391608391608392,0.0,0.02097902097902098,0.25874125874125875,0.0979020979020979,0.0,0.04195804195804196,0.11888111888111888,0.06293706293706294
375,OH,39,1.0,43888.0,38376.0,5512.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
376,OH,41,3.0,109924.33333333333,94203.0,15721.333333333334,2.3333333333333335,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
377,OK,11,11.0,142107.1190909091,114299.72727272728,27807.39181818182,2.4545454545454546,0.09090909090909091,0.0,0.8181818181818182,0.36363636363636365,0.0,0.09090909090909091,0.0,0.18181818181818182,0.36363636363636365
378,OK,13,8.0,72400.225,59072.1,13328.125,1.625,0.125,0.0,0.25,0.375,0.625,0.0,0.0,0.0,0.0
379,OK,15,78.0,112063.76358974357,94979.33333333333,17084.430256410258,2.6666666666666665,0.358974358974359,0.2948717948717949,0.8205128205128205,0.1282051282051282,0.29914529914529914,0.07692307692307693,0.0,0.19230769230769232,0.29059829059829057
380,OK,17,46.0,116690.5243478261,89091.41304347826,27599.11130434783,2.5434782608695654,0.08695652173913043,0.10869565217391304,0.7608695652173914,0.13043478260869565,0.17391304347826086,0.06521739130434782,0.0,0.13043478260869565,0.5652173913043478
381,OK,19,18.0,65482.24444444444,60456.35555555555,5025.888888888889,1.3888888888888888,0.0,0.0,0.0,0.5,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111
382,OK,21,1.0,32739.0,32739.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
383,OK,25,20.0,86660.2,68130.5,18529.7,1.85,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.1,0.0
384,OK,27,1.0,36240.0,36233.520000000004,6.4799999999959255,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
385,OK,29,19.0,116931.08421052631,81688.44210526315,35242.642105263156,2.4210526315789473,0.15789473684210525,0.0,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.10526315789473684,0.0,0.3157894736842105,0.05263157894736842
386,OR,11,43.0,149760.5693023256,134085.48372093023,15675.08558139535,2.7209302325581395,0.023255813953488372,0.0,0.5581395348837209,0.11627906976744186,0.3023255813953488,0.023255813953488372,0.0,0.18604651162790697,0.16279069767441862
387,OR,13,20.0,95162.161,86494.76,8667.401000000002,2.6,0.3,0.25,0.7,0.2,0.1,0.05,0.0,0.1,0.35
