,WORKSITE_STATE,SOC2,total_positions,avg_wage,avg_pw,wage_gap,avg_pw_level,sec_entity_rate,h1b_dep_rate,new_emp_prop,cont_emp_prop,change_prev_prop,concurrent_prop,change_emp_prop,amend_pet_prop
44,PA,13,8.0,86181.25,77165.5,9015.75,2.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0,0.875
45,PA,15,122.0,96075.65081967214,95731.51147540983,344.1393442622951,2.3278688524590163,1.0,1.0,0.12295081967213115,0.19672131147540983,0.1721311475409836,0.10655737704918032,0.10655737704918032,0.29508196721311475
46,RI,15,31.0,110332.32258064517,110332.32258064517,0.0,2.3870967741935485,1.0,1.0,0.1935483870967742,0.12903225806451613,0.2903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
47,SC,15,11.0,108368.09090909091,108368.09090909091,0.0,2.909090909090909,1.0,1.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.8181818181818182
48,TN,15,36.0,81577.75,77933.66666666667,3644.0833333333335,2.2777777777777777,1.0,1.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.8055555555555556
49,TX,13,23.0,128332.52173913043,128332.52173913043,0.0,3.869565217391304,1.0,1.0,0.0,0.043478260869565216,0.21739130434782608,0.0,0.0,0.7391304347826086
50,TX,15,466.0,102539.70729613735,102125.94978540773,413.7575107296137,2.1759656652360513,1.0,1.0,0.11373390557939914,0.17381974248927037,0.16738197424892703,0.11373390557939914,0.12446351931330472,0.30686695278969955
51,UT,13,5.0,100589.0,100589.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
52,UT,15,32.0,109333.875,109333.875,0.0,2.96875,1.0,1.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.6875
53,VA,15,17.0,103261.5294117647,103103.5294117647,158.0,1.8823529411764706,1.0,1.0,0.23529411764705882,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.23529411764705882
54,WA,15,14.0,128529.35714285714,128529.35714285714,0.0,2.0,1.0,1.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714
55,WI,13,5.0,140691.0,140691.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
56,WI,15,22.0,86759.68181818182,86759.68181818182,0.0,3.0,1.0,1.0,0.0,0.045454545454545456,0.2727272727272727,0.0,0.0,0.6818181818181818
