,Unnamed: 0,CASE_STATUS,JOB_TITLE,SOC_TITLE,PREVAILING_WAGE,PW_UNIT_OF_PAY,BEGIN_DATE,END_DATE,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,EMPLOYER_NAME,PW_WAGE_LEVEL,EMPLOYER_CITY,EMPLOYER_STATE,WORKSITE_WORKERS,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE
93987,93987,Certified,Data Engineer,Database Administrators,"$73,778.00 ",Year,4/4/2025,4/3/2028,0,1,0,0,0,Sioux Falls School District 49-5,II,Sioux Falls,SD,1,Sioux Falls,MINNEHAHA,SD,57104
95755,95755,Certified,Internal Medicine Physician,General Internal Medicine Physicians,"$63,918.00 ",Year,10/25/2024,10/24/2027,1,0,0,0,0,"Fayette Physician Network, Inc.",I,Uniontown,PA,1,Charleston,KANAWHA,WV,25304
95849,95849,Certified,Medical Technologist,Medical and Clinical Laboratory Technologists,"$42,390.00 ",Year,3/20/2025,3/19/2028,0,1,0,0,0,"Clayton Health Systems, Inc.",II,Clayton,NM,1,Clayton,UNION,NM,88415
96553,96553,Certified,Middle School Teacher,"Middle School Teachers, Except Special and Career/Technical Education","$59,890.00 ",Year,10/15/2024,10/14/2027,1,0,0,0,0,Bering Strait School District,I,Unalakleet,AK,1,Shishmaref,NOME,AK,99772
96562,96562,Certified,Software Developer,Software Developers,"$88,234.00 ",Year,10/8/2024,10/7/2027,0,0,0,0,1,"COMPUNNEL SOFTWARE GROUP, INC",II,Plainsboro,NJ,1,Cheyenne,LARAMIE,WY,82007
96572,96572,Certified,Outpatient Therapist I (Behavioral Health Counselor),Mental Health Counselors,$26.02 ,Hour,11/4/2024,11/3/2027,0,0,0,0,1,Avera McKennan,II,Sioux Falls,SD,1,Sioux Falls,MINNEHAHA,SD,57105
96697,96697,Certified,Elementary Teacher,"Elementary School Teachers, Except Special Education","$45,040.00 ",Year,10/21/2024,10/20/2027,1,0,0,0,0,Kodiak Island Borough School District,I,Kodiak,AK,1,Kodiak,KODIAK ISLAND,AK,99615
96746,96746,Certified,HR Specialist,Human Resources Specialists,"$41,350.00 ",Year,11/1/2024,10/31/2027,1,0,0,0,0,Heritage Farm Foundation,I,Huntington,WV,1,Huntington,WAYNE,WV,25704
96795,96795,Certified,Computational Linguist,Data Scientists,$53.29 ,Hour,2/1/2025,1/31/2028,1,0,0,0,0,"Intento, Inc.",II,San Francisco,CA,1,Cody,PARK,WY,82414
96852,96852,Certified,Lead Engineer,Chemical Engineers,"$65,562.00 ",Year,12/1/2024,11/30/2027,1,0,0,0,0,Western Research Institute,II,Laramie,WY,1,Laramie,ALBANY,WY,82072
