USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
SD|4660020|1600000US4660020|01267588|Spearfish city|25|A|44728776|12688|17.27|0.005|44.491431|-103.816297
SD|4660060|1600000US4660060|01267589|Spencer city|25|A|694474|0|0.268|0.|43.727466|-97.59111
SD|4660180|1600000US4660180|02813060|Spink Colony CDP|57|S|919576|59812|0.355|0.023|44.744949|-98.289184
SD|4660500|1600000US4660500|02393246|Spring Creek CDP|57|S|26861059|0|10.371|0.|43.11537|-101.030689
SD|4660540|1600000US4660540|02813046|Spring Creek Colony CDP|57|S|769301|0|0.297|0.|45.907694|-98.880645
SD|4660660|1600000US4660660|01267590|Springfield city|25|A|2670090|0|1.031|0.|42.86235|-97.896454
SD|4660958|1600000US4660958|02813039|Spring Lake Colony CDP|57|S|739393|0|0.285|0.|44.23495|-97.174803
SD|4661180|1600000US4661180|02807109|Spring Valley Colony CDP|57|S|1253032|0|0.484|0.|44.039516|-98.881321
SD|4661580|1600000US4661580|02813038|Stephan CDP|57|S|715178|89022|0.276|0.034|44.249138|-99.456674
SD|4661700|1600000US4661700|01267592|Stickney town|43|A|695226|0|0.268|0.|43.589304|-98.437636
SD|4661740|1600000US4661740|01267593|Stockholm town|43|A|1122681|20789|0.433|0.008|45.103038|-96.798352
SD|4661940|1600000US4661940|02393250|Storla CDP|57|S|325294|0|0.126|0.|43.862499|-98.352622
SD|4661980|1600000US4661980|01267594|Strandburg town|43|A|193136|0|0.075|0.|45.044067|-96.760441
SD|4662020|1600000US4662020|01267595|Stratford town|43|A|646359|0|0.25|0.|45.317449|-98.30434
SD|4662100|1600000US4662100|01267596|Sturgis city|25|A|16984345|236183|6.558|0.091|44.410441|-103.49957
SD|4662155|1600000US4662155|02396001|Summerset city|25|A|7777949|26|3.003|0.|44.192639|-103.340973
SD|4662220|1600000US4662220|01267597|Summit town|43|A|1418380|0|0.548|0.|45.305573|-97.039106
SD|4662434|1600000US4662434|02813049|Sunset Colony CDP|57|S|2516914|75039|0.972|0.029|45.809492|-97.885151
SD|4662716|1600000US4662716|02813016|Swift Bird CDP|57|S|1270499|0|0.491|0.|45.060062|-100.354509
SD|4662820|1600000US4662820|01267598|Tabor town|43|A|981212|0|0.379|0.|42.947672|-97.65939
SD|4663100|1600000US4663100|01267599|Tea city|25|A|9994629|0|3.859|0.|43.455572|-96.824052
SD|4663452|1600000US4663452|02813023|Thunderbird Colony CDP|57|S|1218877|80016|0.471|0.031|45.191069|-99.262278
SD|4663620|1600000US4663620|01267600|Timber Lake city|25|A|1581804|0|0.611|0.|45.429414|-101.071434
SD|4663700|1600000US4663700|01267601|Tolstoy town|43|A|472692|0|0.183|0.|45.208148|-99.613985
SD|4663740|1600000US4663740|01267602|Toronto town|43|A|795618|0|0.307|0.|44.572404|-96.641368
SD|4663940|1600000US4663940|01267603|Trent town|43|A|2698419|0|1.042|0.|43.906265|-96.657813
SD|4664020|1600000US4664020|01267604|Tripp city|25|A|1536262|0|0.593|0.|43.22541|-97.965829
SD|4664260|1600000US4664260|02813036|Tschetter Colony CDP|57|S|1382056|11668|0.534|0.005|43.368277|-97.693282
SD|4664300|1600000US4664300|01267605|Tulare town|43|A|661945|0|0.256|0.|44.738221|-98.508932
SD|4664540|1600000US4664540|01267606|Turton town|43|A|949842|0|0.367|0.|45.048957|-98.097407
SD|4664700|1600000US4664700|01267607|Twin Brooks town|43|A|1050672|0|0.406|0.|45.208974|-96.785505
SD|4664840|1600000US4664840|02393261|Two Strike CDP|57|S|48001294|88223|18.533|0.034|43.216362|-100.908211
SD|4664860|1600000US4664860|01267608|Tyndall city|25|A|4086891|0|1.578|0.|42.98987|-97.864223
SD|4665628|1600000US4665628|02813058|Upland Colony CDP|57|S|479435|5252|0.185|0.002|43.877143|-97.977538
SD|4665780|1600000US4665780|01267609|Utica town|43|A|683408|0|0.264|0.|42.981085|-97.496661
SD|4665900|1600000US4665900|02628852|Vale CDP|57|S|3855983|0|1.489|0.|44.618315|-103.39868
SD|4666260|1600000US4666260|01267610|Valley Springs city|25|A|2550204|3690|0.985|0.001|43.582079|-96.46587
SD|4666540|1600000US4666540|01267611|Veblen city|25|A|813816|0|0.314|0.|45.861989|-97.28691
SD|4666660|1600000US4666660|01267612|Verdon town|43|A|651778|0|0.252|0.|45.244189|-98.09919
SD|4666700|1600000US4666700|01267613|Vermillion city|25|A|12397584|0|4.787|0.|42.781726|-96.925636
SD|4667020|1600000US4667020|01267614|Viborg city|25|A|1343864|0|0.519|0.|43.172235|-97.082427
SD|4667220|1600000US4667220|01267615|Vienna town|43|A|2179681|0|0.842|0.|44.703163|-97.50002
SD|4667340|1600000US4667340|01267616|Vilas town|43|A|7713192|0|2.978|0.|44.008433|-97.595616
SD|4667500|1600000US4667500|01267617|Virgil town|43|A|2590506|0|1.|0.|44.290937|-98.4276
SD|4667620|1600000US4667620|02393835|Vivian CDP|57|S|4477810|0|1.729|0.|43.927267|-100.301123
SD|4667700|1600000US4667700|01267618|Volga city|25|A|2964710|0|1.145|0.|44.321832|-96.922207
SD|4667780|1600000US4667780|01267619|Volin town|43|A|510183|0|0.197|0.|42.958621|-97.181185
SD|4668020|1600000US4668020|01267620|Wagner city|25|A|4813337|22037|1.858|0.009|43.07695|-98.291425
SD|4668100|1600000US4668100|01267621|Wakonda town|43|A|999920|0|0.386|0.|43.008115|-97.105974
SD|4668140|1600000US4668140|02813013|Wakpala CDP|57|S|1134586|0|0.438|0.|45.659402|-100.535546
SD|4668380|1600000US4668380|01267622|Wall town|43|A|6811835|205603|2.63|0.079|43.994057|-102.24493
SD|4668420|1600000US4668420|01267623|Wallace town|43|A|344522|0|0.133|0.|45.084459|-97.478129
SD|4668580|1600000US4668580|02393836|Wanblee CDP|57|S|5214866|17480|2.013|0.007|43.571404|-101.660917
SD|4668660|1600000US4668660|01267624|Ward town|43|A|752634|0|0.291|0.|44.154813|-96.462592
SD|4668740|1600000US4668740|01267625|Warner town|43|A|723567|0|0.279|0.|45.325174|-98.495239
SD|4669140|1600000US4669140|01267626|Wasta town|43|A|496820|0|0.192|0.|44.069531|-102.446368
SD|4669300|1600000US4669300|01267627|Watertown city|25|A|47756667|20656866|18.439|7.976|44.909188|-97.155685
SD|4669340|1600000US4669340|01267628|Waubay city|25|A|3770453|0|1.456|0.|45.334533|-97.305472
SD|4669420|1600000US4669420|02628853|Waverly CDP|57|S|2636113|0|1.018|0.|44.99867|-96.974135
SD|4669780|1600000US4669780|01267629|Webster city|25|A|4201540|0|1.622|0.|45.336563|-97.52183
SD|4670020|1600000US4670020|01267630|Wentworth village|47|A|657724|0|0.254|0.|43.996945|-96.964546
SD|4670140|1600000US4670140|01267631|Wessington city|25|A|978372|0|0.378|0.|44.455112|-98.69679
SD|4670220|1600000US4670220|01267632|Wessington Springs city|25|A|4665755|0|1.801|0.|44.080526|-98.571223
SD|4670284|1600000US4670284|02813043|West Brule CDP|57|S|3058810|0|1.181|0.|44.072742|-99.638363
SD|4670540|1600000US4670540|01267643|Westport town|43|A|608612|0|0.235|0.|45.647806|-98.498118
SD|4670646|1600000US4670646|02813048|Westwood Colony CDP|57|S|2610854|0|1.008|0.|45.892867|-97.781406
SD|4670740|1600000US4670740|01267650|Wetonka town|43|A|637996|0|0.246|0.|45.624216|-98.771741
SD|4670940|1600000US4670940|01267651|White city|25|A|2262343|0|0.873|0.|44.435904|-96.64601
SD|4671140|1600000US4671140|02393856|Whitehorse CDP|57|S|7088569|0|2.737|0.|45.274631|-100.901179
SD|4671150|1600000US4671150|02393851|White Horse CDP|57|S|8185596|13893|3.16|0.005|43.310101|-100.597686
